condition,cond_short,rating,feature,group,rho,p_raw,p_fdr,n
Low Stress - High Cog,LS–HW,workload,eeg_fm_halpha_power_precond_Z,EEG_FrontalMidline,0.06573473405414758,0.6716086736208537,0.8954782314944716,44
Low Stress - Low Cog,LS–LW,stress,eeg_fm_halpha_power_precond_Z,EEG_FrontalMidline,0.1176619714090743,0.4468599037984309,0.8592615476819441,44
Low Stress - Low Cog,LS–LW,workload,eeg_fm_halpha_power_precond_Z,EEG_FrontalMidline,0.1569245453308117,0.3090234621759634,0.8343344532056074,44
High Stress - High Cog,HS–HW,stress,eeg_fm_hbeta_power_precond_Z,EEG_FrontalMidline,-0.027011705023374123,0.8618270570195725,0.8618270570195725,44
High Stress - High Cog,HS–HW,workload,eeg_fm_hbeta_power_precond_Z,EEG_FrontalMidline,-0.05346468761094318,0.7303337015381342,0.9203176193546945,44
High Stress - Low Cog,HS–LW,stress,eeg_fm_hbeta_power_precond_Z,EEG_FrontalMidline,0.005574768175247368,0.9713505226781991,0.9713505226781991,44
High Stress - Low Cog,HS–LW,workload,eeg_fm_hbeta_power_precond_Z,EEG_FrontalMidline,0.10587950637756861,0.4939543285735374,0.7996346659838194,44
Low Stress - High Cog,LS–HW,stress,eeg_fm_hbeta_power_precond_Z,EEG_FrontalMidline,0.32181007923030924,0.03315321979431499,0.13261287917725997,44
Low Stress - High Cog,LS–HW,workload,eeg_fm_hbeta_power_precond_Z,EEG_FrontalMidline,0.08592775693352625,0.5791690165062698,0.8954782314944716,44
Low Stress - Low Cog,LS–LW,stress,eeg_fm_hbeta_power_precond_Z,EEG_FrontalMidline,0.29929687724309434,0.048420517472566864,0.3478011084209756,44
Low Stress - Low Cog,LS–LW,workload,eeg_fm_hbeta_power_precond_Z,EEG_FrontalMidline,0.05445489238337789,0.7255322007038654,0.8343344532056074,44
High Stress - High Cog,HS–HW,stress,eeg_fm_lalpha_power_precond_Z,EEG_FrontalMidline,0.10122281040338092,0.5132476964321553,0.8467513667693556,44
High Stress - High Cog,HS–HW,workload,eeg_fm_lalpha_power_precond_Z,EEG_FrontalMidline,0.08832659350520201,0.5685815959164073,0.9203176193546945,44
High Stress - Low Cog,HS–LW,stress,eeg_fm_lalpha_power_precond_Z,EEG_FrontalMidline,0.019082860292192916,0.9021479551918297,0.9713505226781991,44
High Stress - Low Cog,HS–LW,workload,eeg_fm_lalpha_power_precond_Z,EEG_FrontalMidline,0.039383751698394795,0.7996346659838194,0.7996346659838194,44
Low Stress - High Cog,LS–HW,stress,eeg_fm_lalpha_power_precond_Z,EEG_FrontalMidline,0.2465200033618731,0.10670985119243671,0.17073576190789874,44
Low Stress - High Cog,LS–HW,workload,eeg_fm_lalpha_power_precond_Z,EEG_FrontalMidline,0.1535242590545669,0.31975468234694193,0.8526791529251785,44
Low Stress - Low Cog,LS–LW,stress,eeg_fm_lalpha_power_precond_Z,EEG_FrontalMidline,0.06319277668805617,0.6836306009034852,0.8592615476819441,44
Low Stress - Low Cog,LS–LW,workload,eeg_fm_lalpha_power_precond_Z,EEG_FrontalMidline,-0.053524651120586936,0.7300426465549065,0.8343344532056074,44
High Stress - High Cog,HS–HW,stress,eeg_fm_lbeta_power_precond_Z,EEG_FrontalMidline,0.08643745607479719,0.5769119782904566,0.8467513667693556,44
High Stress - High Cog,HS–HW,workload,eeg_fm_lbeta_power_precond_Z,EEG_FrontalMidline,0.039695699568672874,0.798080591732214,0.9203176193546945,44
High Stress - Low Cog,HS–LW,stress,eeg_fm_lbeta_power_precond_Z,EEG_FrontalMidline,0.15209111124264615,0.32434717130330215,0.9713505226781991,44
High Stress - Low Cog,HS–LW,workload,eeg_fm_lbeta_power_precond_Z,EEG_FrontalMidline,0.06399859650989154,0.6798110098266705,0.7996346659838194,44
Low Stress - High Cog,LS–HW,stress,eeg_fm_lbeta_power_precond_Z,EEG_FrontalMidline,0.23211483333237964,0.1294832110530913,0.17264428140412172,44
Low Stress - High Cog,LS–HW,workload,eeg_fm_lbeta_power_precond_Z,EEG_FrontalMidline,-0.07976960101995687,0.6067484603792566,0.8954782314944716,44
Low Stress - Low Cog,LS–LW,stress,eeg_fm_lbeta_power_precond_Z,EEG_FrontalMidline,0.15071229008094206,0.32880443291540107,0.8592615476819441,44
Low Stress - Low Cog,LS–LW,workload,eeg_fm_lbeta_power_precond_Z,EEG_FrontalMidline,0.1512715407338513,0.3269919733908866,0.8343344532056074,44
High Stress - High Cog,HS–HW,stress,eeg_fm_specent_precond_Z,EEG_FrontalMidline,-0.07357135447155846,0.6350635250770167,0.8467513667693556,44
High Stress - High Cog,HS–HW,workload,eeg_fm_specent_precond_Z,EEG_FrontalMidline,-0.12992651482440162,0.40057448752090596,0.9203176193546945,44
High Stress - Low Cog,HS–LW,stress,eeg_fm_specent_precond_Z,EEG_FrontalMidline,-0.08919629080395788,0.5647652827545016,0.9713505226781991,44
High Stress - Low Cog,HS–LW,workload,eeg_fm_specent_precond_Z,EEG_FrontalMidline,-0.30044380145279076,0.04752497191834124,0.38019977534672994,44
Low Stress - High Cog,LS–HW,stress,eeg_fm_specent_precond_Z,EEG_FrontalMidline,-0.11602193595183147,0.4532636654838458,0.4532636654838458,44
Low Stress - High Cog,LS–HW,workload,eeg_fm_specent_precond_Z,EEG_FrontalMidline,0.2882876245119806,0.05773002584588809,0.3243629748681852,44
Low Stress - Low Cog,LS–LW,stress,eeg_fm_specent_precond_Z,EEG_FrontalMidline,-0.0582990599748397,0.7069916825342162,0.8592615476819441,44
Low Stress - Low Cog,LS–LW,workload,eeg_fm_specent_precond_Z,EEG_FrontalMidline,-0.004078750152237239,0.9790367408711282,0.9790367408711282,44
