task,model,modality,baseline_adjustment,normalization,baseline_duration,n_features,n_windows_train,n_windows_test,accuracy_mean,accuracy_std,precision_mean,recall_mean,f1_mean,auc_mean,best_window_accuracy,training_time_seconds
stress_classification,K-Nearest Neighbors,eeg,zscore,within_subject,last_60s,77,3853.6,963.4,0.503840354712411,0.03029392115942315,0.5115377738613602,0.5215153998327994,0.5150618549860437,0.5016240823613516,0.5652173913043478,27.831238985061646
stress_classification,Neural Network (MLP),physio,zscore,within_subject,last_60s,10,3853.6,963.4,0.5382974513725294,0.02227851115818286,0.5566167586811646,0.5294138639290237,0.534608769187633,0.5646558613864164,0.583941605839416,33.24933695793152
stress_classification,SVM,physio,zscore,within_subject,last_60s,10,3853.6,963.4,0.553937170013522,0.04696321723816941,0.5748091797508079,0.514628132497567,0.5383088067227139,0.5782896851480238,0.6277372262773723,41.33415126800537
stress_classification,Linear Discriminant Analysis,physio,zscore,within_subject,last_60s,10,3853.6,963.4,0.5732652789559562,0.08611443014484157,0.5913990113862964,0.5679555866149693,0.5747581494654522,0.6221191353042488,0.6518518518518519,4.595522403717041
stress_classification,Neural Network (MLP),all,zscore,within_subject,last_60s,87,3853.6,963.4,0.5143158349865489,0.03550550856214195,0.5267662084200015,0.5196312222785864,0.5187448404428245,0.5332886240780335,0.5797101449275363,43.26759958267212
stress_classification,Linear Discriminant Analysis,all,zscore,within_subject,last_60s,87,3853.6,963.4,0.5135886001348932,0.056626296980252226,0.5223873014723927,0.5133632402378646,0.5161692352982763,0.5309323661277712,0.6014492753623188,16.757917642593384
stress_classification,Neural Network (MLP),eeg,zscore,within_subject,last_60s,77,3853.6,963.4,0.4879369696054986,0.02921287673661577,0.49741682911860713,0.48923226568569367,0.49002876619883795,0.4920299203216464,0.5579710144927537,48.22882580757141
stress_classification,Linear Discriminant Analysis,eeg,zscore,within_subject,last_60s,77,3853.6,963.4,0.48244711978988564,0.02529557823333527,0.492023403102911,0.4861675529241768,0.4866339655744413,0.4887694263581867,0.5579710144927537,16.470458030700684
stress_classification,Random Forest,physio,zscore,within_subject,last_90s,10,3853.6,963.4,0.5485722299022704,0.08965214892594502,0.5614476803910354,0.5983235673549796,0.5725976528732517,0.5697476854031647,0.6376811594202898,8.91501784324646
stress_classification,SVM,all,zscore,within_subject,last_60s,87,3853.6,963.4,0.51008827555448,0.023550645019342564,0.516381024964465,0.5456067097793402,0.5291049898254863,0.5168772124861809,0.5869565217391305,69.27720618247986
stress_classification,Logistic Regression,all,zscore,within_subject,last_90s,87,3853.6,963.4,0.5684058611175409,0.05804363558714546,0.5786663481087273,0.5791406080944459,0.5757173852772197,0.6021885356127795,0.6496350364963503,9.899677276611328
